"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"US1AZPM0205","TUCSON 11.0 NW, AZ US","32.311299","-111.074941","696.8","2013-02",,,,,,,"0","4,N",,,,,"0.0","4,,N,28,+","0.66","1,,N,21,",,,,,,,,,,,"0.95","1,,,N","0.0","4,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0205","TUCSON 11.0 NW, AZ US","32.311299","-111.074941","696.8","2013-03",,,,,,,"0","3,N",,,,,"0.0","3,,N,31,+","0.14","1,,N,09,",,,,,,,,,,,"0.19","1,,,N","0.0","3,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0206","TUCSON 12.3 NW, AZ US","32.3585","-111.0515","713.5","2013-01",,,,,,,,,,,,,,,"0.48",",,N,27,",,,,,,,,,,,"1.00",",,,N",,,,,,,,,,,,,,,,,,,,
"US1AZPM0206","TUCSON 12.3 NW, AZ US","32.3585","-111.0515","713.5","2013-02",,,,,,,"0","4,N",,,,,"0.7","4,,N,21,","0.53",",,N,21,",,,,,,,,,,,"0.83",",,,N","0.7","4,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0206","TUCSON 12.3 NW, AZ US","32.3585","-111.0515","713.5","2013-03",,,,,,,"0","2,N",,,,,"0.0","2,,N,31,+","0.14",",,N,09,",,,,,,,,,,,"0.17",",,,N","0.0","2,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0206","TUCSON 12.3 NW, AZ US","32.3585","-111.0515","713.5","2013-04",,,,,,,"0","2,N",,,,,"0.0","2,,N,30,+","0.19",",,N,09,",,,,,,,,,,,"0.19",",,,N","0.0","2,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0208","TUCSON 8.3 WNW, AZ US","32.267222","-111.050833","731.5","2013-01",,,,,,,,,,,,,,,"0.44",",,N,26,",,,,,,,,,,,"0.56",",,,N",,,,,,,,,,,,,,,,,,,,
"US1AZPM0208","TUCSON 8.3 WNW, AZ US","32.267222","-111.050833","731.5","2013-02",,,,,,,,,,,,,,,"0.58","2,,N,21,",,,,,,,,,,,"0.91",",a,,N",,,,,,,,,,,,,,,,,,,,
"US1AZPM0208","TUCSON 8.3 WNW, AZ US","32.267222","-111.050833","731.5","2013-03",,,,,,,,,,,,,,,"0.07","4,,N,09,",,,,,,,,,,,"0.08","4,,,N",,,,,,,,,,,,,,,,,,,,
"US1AZPM0208","TUCSON 8.3 WNW, AZ US","32.267222","-111.050833","731.5","2013-04",,,,,,,"0","1,N",,,,,"0.0","1,,N,30,+","0.16",",,N,09,",,,,,,,,,,,"0.16",",,,N","0.0","1,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0213","TUCSON 7.9 E, AZ US","32.2375","-110.7864","789.7","2013-01",,,,,,,,,,,,,,,"0.69",",,N,27,",,,,,,,,,,,"0.98",",,,N",,,,,,,,,,,,,,,,,,,,
"US1AZPM0213","TUCSON 7.9 E, AZ US","32.2375","-110.7864","789.7","2013-02",,,,,,,"0","5,N",,,,,"0.0","5,,N,28,+","0.36",",,N,21,",,,,,,,,,,,"0.59",",,,N","0.0","5,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0213","TUCSON 7.9 E, AZ US","32.2375","-110.7864","789.7","2013-03",,,,,,,"0","2,N",,,,,"0.0","2,,N,31,+","0.02",",,N,09,",,,,,,,,,,,"0.02",",,,N","0.0","2,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0213","TUCSON 7.9 E, AZ US","32.2375","-110.7864","789.7","2013-04",,,,,,,"0","1,N",,,,,"0.0","1,,N,30,+","0.12",",,N,09,",,,,,,,,,,,"0.12",",,,N","0.0","1,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0214","TUCSON 10.8 SE, AZ US","32.107322","-110.792927","893.7","2013-01",,,,,,,"0","5,N",,,,,"0.0","5,,N,31,+","0.23",",,N,27,",,,,,,,,,,,"0.61",",,,N","0.0","5,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0214","TUCSON 10.8 SE, AZ US","32.107322","-110.792927","893.7","2013-02",,,,,,,"0","5,N",,,,,"0.0","5,,N,28,+","0.61",",,N,21,",,,,,,,,,,,"1.01",",,,N","0.0","5,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0214","TUCSON 10.8 SE, AZ US","32.107322","-110.792927","893.7","2013-03",,,,,,,"0","3,N",,,,,"0.0","3,,N,31,+","0.09",",,N,10,",,,,,,,,,,,"0.11",",,,N","0.0","3,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0214","TUCSON 10.8 SE, AZ US","32.107322","-110.792927","893.7","2013-04",,,,,,,"0","1,N",,,,,"0.0","1,,N,30,+","0.10",",,N,09,",,,,,,,,,,,"0.10",",,,N","0.0","1,,,N",,,,,,,,,,,,,,,,,,
"USC00020288","APACHE JUNCTION 5 NE, AZ US","33.4625","-111.4813","630.9","2013-01",,,"0","7",,,,,"19","1,7,14,",,,,,"1.69","1,,7,26,","77","1,7,22,",,,"763","7",,,,,"1.97","1,,,7",,,"51.7","1,7","64.1","1,,,7","39.3","1,,,7",,,,,,,,,,,,
"USC00020288","APACHE JUNCTION 5 NE, AZ US","33.4625","-111.4813","630.9","2013-02",,,"0","7",,,,,"29",",7,13,+",,,,,"0.54",",,7,20,","75",",7,17,+",,,"1097","7",,,,,"0.93",",,,7",,,"53.1",",7","66.3",",,,7","39.9",",,,7",,,,,,,,,,,,
"USC00020288","APACHE JUNCTION 5 NE, AZ US","33.4625","-111.4813","630.9","2013-03",,,"69","7",,,,,"36","1,7,10,",,,,,"0.89","1,,7,08,","91","1,7,15,+",,,"1171","7",,,,,"1.17","1,,,7",,,"64.8","1,7","80.6","1,,,7","49.1","1,,,7",,,,,,,,,,,,
"USC00020288","APACHE JUNCTION 5 NE, AZ US","33.4625","-111.4813","630.9","2013-04",,,"236","7",,,,,"41","2,7,10,",,,,,"0.22","2,,7,09,","98","2,7,30,+",,,"1188","7",,,,,"0.22","2,,,7",,,"70.3","2,7","86.4","2,,,7","54.3","2,,,7",,,,,,,,,,,,
"USR0000ASTH","STRAY HORSE ARIZONA, AZ US","33.5406","-109.3169","2139.7","2013-01",,,"0","U",,,,,"5","1,U,15,+",,,,,,,"61","1,U,22,",,,"2666","U",,,,,,,,,"33.4","2,U","43.3","1,,,U","23.6","1,,,U",,,,,,,,,,,,
"USR0000ASTH","STRAY HORSE ARIZONA, AZ US","33.5406","-109.3169","2139.7","2013-02",,,"0","U",,,,,"14",",U,25,+",,,,,,,"55",",U,16,+",,,"3533","U",,,,,,,,,"34.0",",U","43.6",",,,U","24.5",",,,U",,,,,,,,,,,,
"USR0000ASTH","STRAY HORSE ARIZONA, AZ US","33.5406","-109.3169","2139.7","2013-03",,,"0","U",,,,,"20",",U,09,",,,,,,,"68",",U,14,",,,"4106","U",,,,,,,,,"46.5",",U","55.7",",,,U","37.3",",,,U",,,,,,,,,,,,
"USR0000ASTH","STRAY HORSE ARIZONA, AZ US","33.5406","-109.3169","2139.7","2013-04",,,"0","U",,,,,"24","1,U,18,+",,,,,,,"74","1,U,29,",,,"4534","U",,,,,,,,,"49.5","2,U","59.4","1,,,U","39.6","1,,,U",,,,,,,,,,,,
"US1AZPM0215","TUCSON 6.4 SSE, AZ US","32.1324462890625","-110.882888793945","822.0","2013-03",,,,,,,"0","1,N",,,,,"0.0","1,,N,31,+","0.03",",,N,09,",,,,,,,,,,,"0.03",",,,N","0.0","1,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0215","TUCSON 6.4 SSE, AZ US","32.1324462890625","-110.882888793945","822.0","2013-04",,,,,,,"0","1,N",,,,,"0.0","1,,N,30,+","0.09",",,N,09,",,,,,,,,,,,"0.09",",,,N","0.0","1,,,N",,,,,,,,,,,,,,,,,,
"USC00022109","CORDES, AZ US","34.305","-112.165","1149.4","2013-01",,,"0","7","0",",7","0",",7","16",",7,13,","0",",,7,31,+","0.0",",T,7,28,+","1.25",",,7,26,","73",",7,22,",,,"1599","7",,,,,"1.49",",,,7","0.0",",T,,7","43.6",",7","56.6",",,,7","30.6",",,,7",,,,,,,,,,,,
"USC00022109","CORDES, AZ US","34.305","-112.165","1149.4","2013-02",,,"0","7","0",",7","0",",7","23",",7,22,","0",",,7,28,+","0.3",",,7,09,","0.20",",,7,20,","72",",7,16,",,,"2169","7",,,,,"0.31",",,,7","0.6",",,,7","44.6",",7","58.0",",,,7","31.3",",,,7",,,,,,,,,,,,
"USC00022109","CORDES, AZ US","34.305","-112.165","1149.4","2013-03",,,"1","7","0",",7","0",",7","32",",7,09,","0",",,7,31,+","0.0",",T,7,09,+","1.45",",,7,08,","83",",7,14,",,,"2455","7",,,,,"1.59",",,,7","0.0",",T,,7","55.8",",7","70.6",",,,7","41.0",",,,7",,,,,,,,,,,,
"USC00022109","CORDES, AZ US","34.305","-112.165","1149.4","2013-04",,,"32","7","0",",7","0",",7","34",",7,18,","0",",,7,30,+","0.0",",,7,30,+","0.00",",T,7,26,+","93",",7,29,",,,"2616","7",,,,,"0.00",",T,,7","0.0",",,,7","60.7",",7","76.4",",,,7","45.0",",,,7",,,,,,,,,,,,
"USC00020287","ANVIL RANCH, AZ US","31.9793","-111.3837","840.9","2013-01",,,"0","7",,,,,"8","2,7,15,",,,,,"0.40","2,,7,26,","80","2,7,23,",,,"1200","7",,,,,"0.45","2,,,7",,,"45.6","2,7","61.6","2,,,7","29.6","2,,,7",,,,,,,,,,,,
"USC00020287","ANVIL RANCH, AZ US","31.9793","-111.3837","840.9","2013-02",,,"0","7",,,,,"20","1,7,28,",,,,,"0.30","1,,7,20,","74","1,7,16,+",,,"1696","7",,,,,"0.78","1,,,7",,,"46.7","1,7","62.3","1,,,7","31.0","1,,,7",,,,,,,,,,,,
"USC00020287","ANVIL RANCH, AZ US","31.9793","-111.3837","840.9","2013-03",,,"15","7",,,,,"25",",7,01,",,,,,"0.03",",,7,09,","92",",7,15,",,,"1839","7",,,,,"0.03",",,,7",,,"60.9",",7","78.6",",,,7","43.1",",,,7",,,,,,,,,,,,
"USC00020287","ANVIL RANCH, AZ US","31.9793","-111.3837","840.9","2013-04",,,"95","7",,,,,"29","1,7,19,",,,,,"0.00",",,7,30,+","95","2,7,29,",,,"1899","7",,,,,"0.00",",,,7",,,"65.6","2,7","83.6","2,,,7","47.6","1,,,7",,,,,,,,,,,,
"US1AZPM0210","TUCSON 8.9 E, AZ US","32.220503","-110.767423","847.6","2013-01",,,,,,,,,,,,,,,"0.39","1,,N,27,",,,,,,,,,,,"0.86","1,,,N",,,,,,,,,,,,,,,,,,,,
