"STATION","NAME","DATE","CDSD","DSNW","EMNT","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2020-11",,"0",,"0.0","0.11",,,"0.19","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2020-12",,"0",,"0.0","0.28",,,"0.37","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2021-01",,,,,"0.58",,,"1.61",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2021-02",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2021-03",,,,,"0.12",,,"0.18",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2021-04",,"0",,"0.0","0.13",,,"0.13","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2021-05",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2021-06",,"0",,"0.0","0.39",,,"0.39","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2021-07",,,,,"4.00",,,"10.14",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2021-08",,,,,"3.48",,,"5.38",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2021-09",,,,,"0.53",,,"1.69",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2021-10",,"0",,"0.0","0.02",,,"0.02","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2021-11",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2021-12",,,,,"0.22",,,"0.80",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2022-01",,"0",,"0.0","0.83",,,"0.98","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2022-02",,"0",,"0.0","0.20",,,"0.35","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2022-03",,"0",,"0.0","0.47",,,"0.65","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2022-04",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2022-05",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2022-06",,"0",,"0.0","0.17",,,"0.45","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2022-07",,,,,"0.70",,,"2.47",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2022-08",,,,,"0.84",,,"2.99",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2022-09",,,,,"3.28",,,"5.67",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2022-10",,,,,"0.47",,,"0.81",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2022-11",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2022-12",,"0",,"0.0","0.55",,,"1.39","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2023-01",,"0",,"0.0","0.67",,,"1.33","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2023-02",,,,,"0.24",,,"0.83",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2023-03",,"1",,"1.2","0.45",,,"0.55","1.2",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2023-04",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2023-05",,"0",,"0.0","0.11",,,"0.11","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2023-06",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2023-07",,,,,"0.36",,,"1.02",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2015-12",,"0",,"0.0","0.34",,,"0.46","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2016-01",,"0",,"0.0","0.89",,,"1.37","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2016-02",,"0",,"0.0","0.18",,,"0.19","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2016-12",,,,,"0.47",,,"1.29",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2017-01",,,,,"0.43",,,"1.38",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2017-02",,,,,"0.06",,,"0.12",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2017-04",,"0",,"0.0","0.08",,,"0.08","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2017-05",,"0",,"0.0","0.04",,,"0.06","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2017-06",,"0",,"0.0","0.08",,,"0.08","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2017-07",,,,,"1.85",,,"4.32",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2017-08",,,,,"0.85",,,"1.33",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2017-10",,"0",,"0.0","0.02",,,"0.02","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2017-11",,"0",,"0.0","0.15",,,"0.15","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2017-12",,"0",,"0.0","0.36",,,"0.56","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2018-01",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2018-02",,,,,"1.38",,,"3.10",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2018-03",,"0",,"0.0","0.03",,,"0.04","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2018-04",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2018-05",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2018-06",,"0",,"0.0","1.00",,,"1.29","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2018-07",,,,,"0.68",,,"3.12",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2018-08",,,,,"0.81",,,"1.74",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2018-09",,,,,"3.34",,,"3.88",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2018-10",,,,,"1.10",,,"3.77",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2018-11",,"0",,"0.0","0.19",,,"0.19","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2018-12",,"0",,"0.0","0.36",,,"1.15","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2019-01",,,,,"0.53",,,"1.40",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2019-02",,,,,"1.24",,,"2.63",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2019-03",,"0",,"0.0","0.48",,,"0.93","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2019-04",,"0",,"0.0","0.10",,,"0.10","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2019-05",,"0",,"0.0","0.36",,,"0.38","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2019-06",,"0",,"0.0","0.28",,,"0.28","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2019-07",,,,,"0.17",,,"0.53",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2019-08",,,,,"1.09",,,"2.75",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2019-09",,,,,"1.00",,,"2.21",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2019-10",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2019-11",,,,,"0.91",,,"2.62",,,,
"US1AZPM0269","GREEN VALLEY 1.2 W, AZ US","2019-12",,,,,"0.53",,,"1.97",,,,
